"animal","study_year","has_hr","has_speed","has_diffusion","prop_finite_hr","prop_finite_speed","prop_finite_diffusion"
"1","1",TRUE,TRUE,TRUE,1,0.55,1
"1","2",TRUE,TRUE,TRUE,1,0.41,0.73
"100","2",TRUE,TRUE,TRUE,1,0.81,1
"102","2",TRUE,TRUE,TRUE,1,0.62,1
"107","2",TRUE,TRUE,TRUE,1,0.63,1
"1074","1",TRUE,TRUE,TRUE,1,0.53,1
"11","1",TRUE,TRUE,TRUE,1,0.79,1
"1123","1",TRUE,TRUE,TRUE,1,0.78,1
"1123","2",TRUE,TRUE,TRUE,1,0.48,0.9
"113","2",TRUE,TRUE,TRUE,1,0.62,1
"1143","2",TRUE,TRUE,TRUE,1,0.69,1
"1159","2",TRUE,TRUE,TRUE,1,0.35,1
"116","2",TRUE,TRUE,TRUE,1,0.83,1
"117","2",TRUE,TRUE,TRUE,1,0.7,1
"118","2",TRUE,TRUE,TRUE,1,0.7,1
"119","2",TRUE,TRUE,TRUE,1,0.09,1
"12","1",TRUE,TRUE,TRUE,1,0.19,1
"120","2",TRUE,TRUE,TRUE,1,0.82,1
"122","2",TRUE,TRUE,TRUE,1,0.68,1
"123","2",TRUE,TRUE,TRUE,1,0.63,1
"124","2",TRUE,TRUE,TRUE,1,0.59,1
"125","2",TRUE,TRUE,TRUE,1,0.73,1
"126","2",TRUE,TRUE,TRUE,1,0.68,1
"127","2",TRUE,TRUE,TRUE,1,0.54,1
"128","2",TRUE,TRUE,TRUE,1,0.68,1
"1286","2",TRUE,TRUE,TRUE,1,0.51,1
"1319","1",TRUE,TRUE,TRUE,1,0.58,1
"132","2",TRUE,TRUE,TRUE,1,0.61,1
"133","1",TRUE,TRUE,TRUE,1,0.39,1
"139","2",TRUE,TRUE,TRUE,1,0.74,1
"148","1",TRUE,TRUE,TRUE,1,0.74,1
"14b","1",TRUE,TRUE,TRUE,1,0.36,1
"1573","1",TRUE,TRUE,TRUE,1,0.14,1
"1584","1",TRUE,TRUE,TRUE,1,0.84,1
"15b","1",TRUE,TRUE,TRUE,1,0.54,1
"16","1",TRUE,TRUE,TRUE,1,0.47,1
"16","2",TRUE,TRUE,TRUE,1,0.73,1
"170","1",TRUE,TRUE,TRUE,1,0.67,1
"1713","2",TRUE,TRUE,TRUE,1,0.71,1
