id,birth_year,sex,study_site,study_year,study_year2,Age
1,2017,f,staten_island,1,2021,4
1,2017,f,staten_island,2,2022,5
2,2019,f,staten_island,1,2021,2
3,2018,f,staten_island,1,2021,3
7,2016,f,staten_island,1,2021,5
8,2018,f,staten_island,1,2021,3
9,2016,f,staten_island,1,2021,5
11,2015,f,staten_island,1,2021,6
12,2015,f,staten_island,1,2021,6
13,2014,f,staten_island,1,2021,7
16,2018,f,staten_island,1,2021,3
16,2018,f,staten_island,2,2022,4
18,2019,f,staten_island,1,2021,2
22,2018,f,rockefeller,1,2021,3
24,2017,f,staten_island,1,2021,4
25,2017,f,staten_island,1,2021,4
25,2017,f,staten_island,2,2022,5
26,2014,f,rockefeller,1,2021,7
27,2016,f,rockefeller,1,2021,5
27,2016,f,rockefeller,2,2022,6
28,2014,f,rockefeller,1,2021,7
29,2014,f,rockefeller,1,2021,7
29,2014,f,rockefeller,2,2022,8
30,2017,f,rockefeller,1,2021,4
30,2017,f,rockefeller,2,2022,5
31,2019,f,rockefeller,1,2021,2
33,2016,f,rockefeller,1,2021,5
34,2014,m,rockefeller,1,2021,7
35,2019,m,rockefeller,1,2021,2
36,2014,f,rockefeller,1,2021,7
37,2016,f,rockefeller,1,2021,5
38,2014,m,rockefeller,1,2021,7
39,2017,m,rockefeller,1,2021,4
40,2018,f,rockefeller,1,2021,3
41,2018,m,rockefeller,1,2021,3
42,2016,f,rockefeller,1,2021,5
43,2018,m,rockefeller,1,2021,3
43,2018,m,rockefeller,2,2022,4
44,2014,f,rockefeller,1,2021,7
45,2018,f,rockefeller,1,2021,3
46,2014,f,rockefeller,1,2021,7
47,2017,f,rockefeller,1,2021,4
48,2019,f,rockefeller,1,2021,2
49,2014,f,rockefeller,1,2021,7
50,2018,m,rockefeller,1,2021,3
51,2018,f,rockefeller,1,2021,3
51,2018,f,rockefeller,2,2022,4
52,2018,f,rockefeller,1,2021,3
53,2017,m,rockefeller,1,2021,4
54,2016,f,rockefeller,1,2021,5
56,2015,f,rockefeller,1,2021,6
57,2018,m,rockefeller,1,2021,3
58,2018,m,rockefeller,1,2021,3
59,2019,m,rockefeller,1,2021,2
61,2017,m,rockefeller,1,2021,4
62,2016,f,rockefeller,1,2021,5
63,2018,m,rockefeller,1,2021,3
63,2018,m,rockefeller,2,2022,4
66,2017,f,staten_island,1,2021,4
80,2018,f,staten_island,1,2021,3
82,2019,m,rockefeller,2,2022,3
83,2020,f,rockefeller,2,2022,2
84,2018,f,rockefeller,2,2022,4
85,2020,f,rockefeller,2,2022,2
87,2017,f,rockefeller,2,2022,5
88,2017,f,rockefeller,2,2022,5
89,2018,f,rockefeller,2,2022,4
90,2020,m,rockefeller,2,2022,2
91,2019,m,rockefeller,2,2022,3
92,2018,f,rockefeller,2,2022,4
93,2019,m,rockefeller,2,2022,3
94,2020,f,rockefeller,2,2022,2
95,2020,m,rockefeller,2,2022,2
96,2017,m,rockefeller,2,2022,5
97,2019,f,rockefeller,2,2022,3
98,2015,f,rockefeller,2,2022,7
99,2018,f,rockefeller,2,2022,4
